"module_num","phenotype_name","protected_criteria","protected_markers","transition_criteria","transition_markers","debt_criteria","debt_markers"
"01","Intellectual Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Breath-hold < 20 s; saccade latency > 300 ms; chronic vagal withdrawal; elevated resting heart rate > 95 bpm"
"01","Global Developmental Delay Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Global delay across all domains with loss of previously acquired skills; developmental regression"
"01","Language Ontogeny Delay","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Profound language impairment; absent perisylvian activation on fMRI"
"01","Speech Sound Ontogeny","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Corticobulbar conduction time severely prolonged; unable to produce intelligible speech"
"01","Fluency Ontogeny — Stuttering Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Reduced putamen volume; right-lateralized speech activation; finger-tap asymmetry >15%; elevated galvanic skin response >5 microsiemens during speech"
"01","Social Pragmatic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Absent mPFC activation during mentalizing tasks; profound pragmatic deficits"
"01","Autism Spectrum Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Pupillary adaptation <10%; antisaccade errors >30%; absent acoustic startle habituation"
"01","Attention-Drive Regulation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Theta/beta ratio >4.0; RT variability >80 ms; delay discounting rate >0.05; elevated cortisol"
"01","Specific Learning Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RAN >90 s; pseudoword repetition <70%; number line error >15 marks; absent domain-specific activation on fMRI"
"01","Motor Coordination Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Falls off tandem gait line repeatedly; finger-to-nose >5 cm error; <10 cycles pronation-supination"
"01","Stereotypic Movement Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Does not stop with distraction; self-injury present; requires physical protective measures"
"01","Tourette's Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Reduced putamen volume on MRI; urge suppression <5 s; continuous tics during rest"
"01","Persistent (Chronic) Motor or Vocal Tic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Urge suppression <5 s; tics interfere with function; stable topography"
"01","Provisional Tic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Tics suppressible >30 s; no functional impairment; resolve within 12 months"
"01","Intellectual Phenotype — Genetic Syndrome Subtype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Syndrome-specific markers; IQ <40; continuous supervision required"
"01","Language Ontogeny — Social Communication Subtype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Minimal verbal output; absent pragmatic understanding; severe social impairment"
"01","ADHD — Inattentive Predominance","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Theta/beta ratio >3.5; digit span forward <5; RT variability >70 ms"
"01","ADHD — Hyperactive-Impulsive Predominance","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Inability to sit still for >2 min; continuous fidgeting; impaired Go/No-Go performance"
"02","Schizotypal Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","P50 ratio >0.7; hippocampal volume <5th percentile for age; absent dexamethasone suppression"
"02","Delusional Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Striatal F-DOPA uptake >1.3 Ki; complete dexamethasone nonsuppression; reduced hippocampal volume"
"02","Brief Psychotic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Cortisol >25 mcg/dL; plasma HVA elevated >50% above baseline; abnormal Luria sequences"
"02","Schizophreniform Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Striatal F-DOPA uptake >1.3 Ki; ventricular enlargement >2 SD above mean; progressive cortical volume loss"
"02","Schizophrenia Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Striatal F-DOPA >1.3 Ki; ventricular-brain ratio >0.35; progressive volume loss on serial MRI; absent dexamethasone suppression"
"02","Schizoaffective Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","HVA >1.3 Ki; DST nonsuppression; elevated CSF 5-HIAA; absent nocturnal blood pressure dip"
"02","Substance/Medication-Induced Psychotic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Positive toxicology matching symptom type; autonomic instability; elevated creatine kinase"
"02","Psychotic Phenotype Due to Another Medical Condition","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Abnormal EEG (temporal spikes); positive autoimmune antibodies in CSF; endocrine panels outside reference range"
"02","Catatonia Associated With Another Psychotic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","3+ catatonic signs present; elevated CK >1000 U/L; fever; autonomic instability"
"02","Catatonic Phenotype Due to Another Medical Condition","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","CK >1000 U/L; autonomic instability; fever; identifiable organic etiology (ammonia >150; Na <120; Ca >14 mg/dL)"
"02","Unspecified Catatonic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","3+ catatonic signs requiring emergency intervention; workup in progress"
"02","Other Specified Schizophrenia Spectrum Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Partial psychotic syndrome; functional decline without full criteria"
"02","Unspecified Schizophrenia Spectrum Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Symptoms present but unable to classify due to insufficient information"
"03","Manic Activation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RSA <8 bpm; sleep <4.5 h; speech rate >4.5 syl/s with grandiosity content; HRV HF <400 ms2; plasma norepinephrine >600 pg/mL"
"03","Hypomanic Activation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RSA <8 bpm; sleep <5.5 h; pause fraction <15%; HRV HF <300 ms2; speech rate >4.5 syl/s with pressured quality"
"03","Depressive Collapse Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Evening cortisol >10 mcg/dL; IL-6 >5 pg/mL; kynurenine/tryptophan >0.05; cryogenic index >2.0; HR recovery <12 bpm"
"03","Bipolar II Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RSA variance >6 bpm; sleep midpoint SD >2 h; <40% euthymic days; HRV HF <300 ms2; flat cortisol diurnal slope"
"03","Cyclothymic Oscillation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Pulse CV >15%; appetite variance >4; RSA alternating <8/>14 bpm; sleep <6 or >9 h; any subsyndromal crossover toward Somatic Debt thresholds"
"03","Substance/Medication-Induced Bipolar Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Symptoms persist >30 days after drug clearance; RSA <8 bpm after drug clearance; autonomous bipolar phenotype now established"
"03","Medical Condition-Coupled Bipolar Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Laboratory values at or above diagnostic thresholds; RSA <8 bpm; structural lesion present"
"03","Subthreshold Bipolar Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Approaching full Manic or Depressive Collapse thresholds; conversion risk high"
"03","Unspecified Bipolar Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Crisis intervention required; phenotype assignment deferred until stabilization"
"03","Rapid Cycling Specifier","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RSA variance >6 bpm; >4 episode demarcations/year; HRV HF <300 ms2"
"04","Disruptive Mood Dysregulation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RSA <8 bpm; SCR latency <1.0 s; outbursts >4/week; recovery >30 min or failure to return to baseline"
"04","Major Depressive Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","DST non-suppression >5.0 mcg/dL; corrugator EMG >50 microV; HR recovery <12 bpm; evening cortisol >10 mcg/dL; IL-6 >5 pg/mL; kyn/tryp >0.05; grip <25/15 kg"
"04","Persistent Depressive Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Hair cortisol >10 pg/mg; RMSSD <25 ms; sleep onset SD <30 or >180 min; k >0.05; full Criterion B symptom load >=4 with no 2-month respite"
"04","Premenstrual Dysphoric Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RSA delta >4 bpm; DRSP luteal mean >3x follicular; follicular score >2; luteal cortisol >8 nmol/L; marked functional impairment"
"04","Substance/Medication-Induced Depressive Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Symptoms persist >4 weeks after clearance; PHQ-9 >10 after full drug clearance; DST non-suppression; RSA <8 bpm; independent depressive oscillator now established"
"04","Medical Condition-Coupled Depressive Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Biomarkers at diagnostic threshold; PHQ-9 >10; RSA <10 bpm; DST non-suppression"
"04","Subthreshold Depressive Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Episodes approaching 14 days; approaching 5 symptoms; RSA <10 bpm between episodes; on trajectory to meet full MDE criteria"
"04","Unspecified Depressive Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Crisis with no biometric baseline; emergency intervention required; phenotype assignment deferred until stabilization"
"05","Proximal Separation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","HRV <20 ms RMSSD; cortisol diurnal flattening; elevated CRP; refusal to separate; panic at anticipated separation"
"05","Vocal Selective Engagement Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Dorsal vagal immobilization; laryngeal fixity on EMG; HR deceleration >10 bpm; inability to phonate"
"05","Conditioned Threat Reactivity Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","SNS activation >3x baseline; syncope risk; complete avoidance lifestyle; avoidance-induced muscle atrophy"
"05","Social-Evaluative Threat Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Pronounced blushing; gross tremor; voice break; profuse sweating; social isolation; panic in evaluative contexts"
"05","Unexpected Autonomic Cascade Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Breath-hold <20 s; hyperventilation tendency; HRV <15 ms; elevated CO2 sensitivity; recurrent unexpected full panic attacks with agoraphobic avoidance"
"05","Spatial Safety Dysregulation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Marked Romberg instability; gait <0.8 m/s; freezing behavior; homebound; unable to navigate alone"
"05","Chronic Worry Perseveration Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Cortisol flat diurnal curve; HRV <15 ms; RR >18; insomnia; exhaustion; constant worry; chronic muscle pain; palpable trigger points in 2+ muscle groups"
"05","Substance/Medication-Induced Anxiety Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Severe anxiety requiring medical attention; positive toxicology; autonomic instability; unable to clear substance"
"05","Somatic-Secondary Anxiety Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Marked lab abnormalities; hospitalization-level anxiety; disease-driven panic; severe functional impairment"
"05","Subthreshold Anxiety Presentation","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Significant distress despite subthreshold criteria; functional impairment; measurable autonomic deviation"
"05","Unspecified Anxiety Presentation","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Severe anxiety requiring immediate intervention before full phenotyping; elevated HR/BP requiring stabilization"
"05","Panic Attack Specifier","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Recurrent unexpected full attacks with catastrophic cognition; attacks >1/week; HR >140 bpm at peak; alkalosis present"
"06","Obsessive-Compulsive Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Marked CSTC hypermetabolism on PET; striatal volume reduction; poor or absent insight; time-consuming compulsions"
"06","Appearance Preoccupation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Marked fusiform detail-bias; striatal hypermetabolism; poor/absent insight; 3-8 hr/day preoccupation; housebound; comorbid skin damage from picking"
"06","Possession Retention Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Discard hesitation >15 s; marked GSR activation; severe clutter compromising living areas; acquisition despite no space; health/safety risk; eviction risk"
"06","Hair-Pulling Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Complete alopecia patches; trichobezoar risk; scalp scarring; inability to stop; social avoidance"
"06","Skin-Picking Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment",">5 active lesions; scarring; infection; antibiotic treatment; severe tissue damage; social avoidance"
"06","Substance/Medication-Induced OCD & Related Adaptation","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Positive toxicology + significant tissue damage; severe OCD/related symptoms requiring intervention during use/withdrawal"
"06","Somatic-Secondary OCD & Related Adaptation","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Fixed structural lesion; persistent autoimmune activity; severe OC/related symptoms from chronic striatal pathology"
"06","Subthreshold OC & Related Presentation","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Measurable CSTC metabolic deviation; tissue damage; relationship dissolution; significant distress/impairment despite subthreshold criteria"
"06","Unspecified OC & Related Presentation","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Severe symptoms requiring intervention; tissue damage or severe functional impairment"
"07","Attachment Inhibition Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","No comfort-seeking; RSA flat or decreases to caregiver; RSA <0.3 ms2; HR accelerates on reunion; no pupillary differential"
"07","Disinhibited Social Approach Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","No stranger aversion; approaches indiscriminately; SCR <0.3 microS differential; startle potentiation <30%"
"07","Posttraumatic Stress Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RSA <1.2 ms2; <50% startle habituation; SCR >3 microS; HR >85 bpm at rest; chronic hyperarousal; dissociative features"
"07","Acute Stress Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","HR >95 bpm; no startle habituation; SCL >5 microS; dissociative features; full symptom cluster persisting >72 h"
"07","Adjustment Phenotypes","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","HRV <25 ms RMSSD; flattened cortisol diurnal slope; marked distress disproportionate to stressor; functional limitation"
"07","Other Specified Trauma/Stressor Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Biomarkers deviate but not in full PTSD pattern; significant distress with atypical presentation"
"07","Unspecified Trauma/Stressor Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Insufficient data for classification; pending evaluation"
"08","Identity Fragmentation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment",">3 attractors; >20% HRV variation; >2 microS SCR differential; pupillary shifts >1.5 mm; recurrent amnesia; distinct identity states"
"08","Autobiographical Retrieval Suppression Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","SCR >2 microS; HR increase >15 bpm; pupillary dilation >2 mm without recall; generalized amnesia or fugue; complete autobiographical blockade"
"08","Self-Unreality Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","SCR <0.3 microS differential; pupillary <0.5 mm differential; HR response <5 bpm; persistent or recurrent depersonalization/derealization; marked hyporeactivity"
"08","Other Specified Dissociative Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Functional limitation from dissociative symptoms; significant autonomic dysregulation"
"08","Unspecified Dissociative Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Insufficient data for classification pending evaluation"
"09","Somatic Symptom Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","HRV <20 ms RMSSD; cortisol >25 mcg/dL; pupillary hyperreactivity >1.5 mm; severe symptoms with functional incapacitation"
"09","Somatic Symptom Phenotype with Predominant Pain","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","PPT <2.0 kg/cm2; CPM <10%; temporal summation present; widespread allodynia; pain without tissue correlate"
